Real,Amostral
0.8943,0.8943
0.86,0.7934
0.7337,0.8191
0.74,0.6912
0.6595,0.6705
0.65,0.8466
0.6152,0.6152
0.63,0.6241
0.5709,0.6156
0.59,0.6249
0.6954,0.6185
0.71,0.6214
0.6287,0.6287
0.64,0.6230
0.5345,0.6092
0.53,0.6214
0.6049,0.6090
0.65,0.6147
0.6079,0.6079
0.63,0.6084
0.6534,0.6088
0.68,0.6085
0.5737,0.6083
0.54,0.6088
0.6092,0.6092
0.61,0.4448
0.5980,0.4654
0.62,0.4962
0.5426,0.4448
0.54,0.4792
0.4228,0.4228
0.42,0.4445
0.4397,0.5129
0.41,0.4768
0.6305,0.4747
0.63,0.4396
0.5137,0.5137
0.47,0.5089
0.3179,0.3911
0.34,0.4610
0.4527,0.3700
0.45,0.3367
0.3357,0.3357
0.31,0.3900
0.2810,0.3674
0.24,0.3661
0.2523,0.3514
0.22,0.3516
0.4004,0.4004
0.42,0.3836
0.4268,0.3925
0.43,0.4001
0.2913,0.3990
0.28,0.3803
0.3704,0.3704
0.4,0.1637
0.3652,0.3406
0.33,0.3089
0.2246,0.2498
0.19,0.2911
0.1303,0.1303
0.11,0.1477
0.1453,0.1677
0.15,0.1506
0.3374,0.1445
0.3,0.1387
0.1782,0.1782
0.13,0.1977
0.2973,0.2206
0.32,0.2169
0.2608,0.1834
0.27,0.1936
0.2234,0.2234
0.16,0.1370
0.1090,0.1831
0.07,0.1576
0.1935,0.1287
0.18,0.1575
-0.0827,-0.0827
-0.12,0.0664
-0.0008,0.1519
-0.02,0.0829
-0.0758,0.0348
-0.08,0.0504
0.1608,0.1608
0.15,0.1156
0.0252,0.1278
0.01,0.0489
-0.0803,0.0775
-0.09,0.0463
0.0351,0.0351
0.03,0.0274
0.0904,0.0127
0.07,0.0126
-0.0325,0.0004
-0.07,0.0234
-0.0155,-0.0155
-0.02,-0.0251
-0.0240,-0.1029
-0.05,-0.0575
-0.0794,-0.1170
-0.1,-0.0896
-0.1510,-0.1510
-0.2,-0.1068
0.1047,-0.1172
0.06,-0.0814
0.0880,-0.1394
0.02,0.0404
0.0763,0.0763
0.05,0.1045
0.0201,0.1014
-0.03,0.0878
0.0593,0.0861
0.04,0.0887
0.1087,0.1087
0.06,0.0425
0.0480,0.0256
0.03,-0.1275
-0.1990,0.0190
-0.2,0.1086
-0.1349,-0.1349
-0.14,0.0242
-0.1160,-0.0323
-0.12,-0.0837
0.0951,-0.0937
0.08,-0.0639
0.0244,0.0244
0.01,-0.0560
-0.0140,0.0086
-0.06,0.0208
-0.1631,-0.0573
-0.17,-0.0463
-0.0616,-0.0616
-0.08,-0.0544
-0.0534,-0.0289
-0.09,-0.0576
-0.0549,-0.0279
-0.04,-0.0277
-0.0093,-0.0093
-0.03,0.1167
0.1703,0.0157
0.12,0.1141
0.2890,0.1427
0.26,0.0690
0.1580,0.1580
0.14,0.1334
0.1509,0.1186
0.1,0.1299
0.1947,0.1483
0.13,0.1161
0.0963,0.0963
0.08,0.0638
-0.0104,0.0507
-0.02,0.0136
-0.0282,0.0249
-0.02,0.0451
-0.0156,-0.0156
-0.02,-0.0768
-0.1111,-0.0233
-0.15,-0.0248
-0.1378,-0.0677
-0.19,-0.0311
